,普通,温泉,学園都市,,,,,,,,,,,,,5:00:00,5:01:00,5:01:30,5:02:30,5:03:00,5:04:30,5:04:50,5:06:20,5:06:40,5:08:10,5:08:40,5:10:40,5:11:00,5:13:00,5:13:20,5:15:20,5:15:40,5:17:40
,普通,温泉,都会,5:00:00,5:01:00,5:01:30,5:02:30,5:03:00,5:04:00,5:04:30,5:05:30,5:06:00,5:07:00,5:07:30,5:08:30,5:11:00,5:12:00,5:12:30,5:13:30,5:16:00,5:17:30,5:17:50,5:19:20,5:19:40,5:21:10,5:21:40,5:23:40,5:24:00,5:26:00,5:26:20,5:28:20,5:28:40,5:30:40
,普通,温泉,都会,5:20:00,5:21:00,5:21:30,5:22:30,5:23:00,5:24:00,5:24:30,5:25:30,5:26:00,5:27:00,5:27:30,5:28:30,5:29:00,5:30:00,5:30:30,5:31:30,5:32:00,5:33:30,5:33:50,5:35:20,5:35:40,5:37:10,5:37:40,5:39:40,5:40:00,5:42:00,5:42:20,5:44:20,5:44:40,5:46:40
,普通,温泉,都会,5:40:00,5:41:00,5:41:30,5:42:30,5:43:00,5:44:00,5:44:30,5:45:30,5:46:00,5:47:00,5:47:30,5:48:30,5:49:00,5:50:00,5:50:30,5:51:30,5:52:00,5:53:30,5:53:50,5:55:20,5:55:40,5:57:10,5:57:40,5:59:40,6:00:00,6:02:00,6:02:20,6:04:20,6:04:40,6:06:40
,普通,温泉,車両基地,,,,,,,,,,,6:00:30,6:01:30,6:02:00,6:03:00,6:03:30,6:04:30,6:05:00,6:06:30,6:06:50,6:08:20,6:08:40,6:10:10,6:10:40,6:12:40,6:13:00,6:15:00,6:15:20,6:17:20,6:17:40,6:19:40
,急行,温泉,都会,6:00:00,6:01:00,,6:02:00,,6:03:00,,6:04:00,,6:05:00,,6:06:00,6:06:30,6:07:30,,6:08:30,6:09:00,6:10:30,,6:12:00,,6:13:30,6:14:00,6:16:00,,6:18:00,,6:20:00,,6:22:00
,普通,温泉,都会,6:10:00,6:11:00,6:11:30,6:12:30,6:13:00,6:14:00,6:14:30,6:15:30,6:16:00,6:17:00,6:17:30,6:18:30,6:19:00,6:20:00,6:20:30,6:21:30,6:22:00,6:23:30,6:23:50,6:25:20,6:25:40,6:27:10,6:27:40,6:29:40,6:30:00,6:32:00,6:32:20,6:34:20,6:34:40,6:36:40
,急行,温泉,都会,6:20:00,6:21:00,,6:22:00,,6:23:00,,6:24:00,,6:25:00,,6:26:00,6:26:30,6:27:30,,6:28:30,6:29:00,6:30:30,,6:32:00,,6:33:30,6:34:00,6:36:00,,6:38:00,,6:40:00,,6:42:00
,普通,温泉,都会,6:23:00,6:24:00,6:24:30,6:25:30,6:26:00,6:27:00,6:27:30,6:28:30,6:29:00,6:30:00,6:30:30,6:31:30,6:32:00,6:33:00,6:33:30,6:34:30,6:35:00,6:36:30,6:36:50,6:38:20,6:38:40,6:40:10,6:40:40,6:42:40,6:43:00,6:45:00,6:45:20,6:47:20,6:47:40,6:49:40
,普通,町中,都会,6:33:00,6:34:00,6:34:30,6:35:30,6:36:00,6:37:00,6:37:30,6:38:30,6:39:00,6:40:00,6:40:30,6:41:30,6:42:00,6:43:00,6:43:30,6:44:30,,,,,,,,,,,,,,
,急行,温泉,都会,6:40:00,6:41:00,,6:42:00,,6:43:00,,6:44:00,,6:45:00,,6:46:00,6:46:30,6:47:30,,6:48:30,6:49:00,6:50:30,,6:52:00,,6:53:30,6:54:00,6:56:00,,6:58:00,,7:00:00,,7:02:00
,普通,温泉,都会,6:43:00,6:44:00,6:44:30,6:45:30,6:46:00,6:47:00,6:47:30,6:48:30,6:49:00,6:50:00,6:50:30,6:51:30,6:52:00,6:53:00,6:53:30,6:54:30,6:55:00,6:56:30,6:56:50,6:58:20,6:58:40,7:00:10,7:00:40,7:02:40,7:03:00,7:05:00,7:05:20,7:07:20,7:07:40,7:09:40
,普通,温泉,都会,6:53:00,6:54:00,6:54:30,6:55:30,6:56:00,6:57:00,6:57:30,6:58:30,6:59:00,7:00:00,7:00:30,7:01:30,7:02:00,7:03:00,7:03:30,7:04:30,7:05:00,7:06:30,7:06:50,7:08:20,7:08:40,7:10:10,7:10:40,7:12:40,7:13:00,7:15:00,7:15:20,7:17:20,7:17:40,7:19:40
,急行,温泉,都会,7:00:00,7:01:00,,7:02:00,,7:03:00,,7:04:00,,7:05:00,,7:06:00,7:06:30,7:07:30,,7:08:30,7:09:00,7:10:30,,7:12:00,,7:13:30,7:14:00,7:16:00,,7:18:00,,7:20:00,,7:22:00
,普通,温泉,都会,7:03:00,7:04:00,7:04:30,7:05:30,7:06:00,7:07:00,7:07:30,7:08:30,7:09:00,7:10:00,7:10:30,7:11:30,7:12:00,7:13:00,7:13:30,7:14:30,7:15:00,7:16:30,7:16:50,7:18:20,7:18:40,7:20:10,7:20:40,7:22:40,7:23:00,7:25:00,7:25:20,7:27:20,7:27:40,7:29:40
,普通,町中,都会,7:07:00,7:08:00,7:08:30,7:09:30,7:10:00,7:11:00,7:11:30,7:12:30,7:13:00,7:14:00,7:14:30,7:15:30,7:16:00,7:17:00,7:17:30,7:18:30,,,,,,,,,,,,,,
,急行,温泉,都会,7:15:00,7:16:00,,7:17:00,,7:18:00,,7:19:00,,7:20:00,,7:21:00,7:21:30,7:22:30,,7:23:30,7:24:00,7:25:30,,7:27:00,,7:28:30,7:29:00,7:31:00,,7:33:00,,7:35:00,,7:37:00
,普通,温泉,都会,7:18:00,7:19:00,7:19:30,7:20:30,7:21:00,7:22:00,7:22:30,7:23:30,7:24:00,7:25:00,7:25:30,7:26:30,7:27:00,7:28:00,7:28:30,7:29:30,7:30:00,7:31:30,7:31:50,7:33:20,7:33:40,7:35:10,7:35:40,7:37:40,7:38:00,7:40:00,7:40:20,7:42:20,7:42:40,7:44:40
,普通,町中,都会,7:22:00,7:23:00,7:23:30,7:24:30,7:25:00,7:26:00,7:26:30,7:27:30,7:28:00,7:29:00,7:29:30,7:30:30,7:31:00,7:32:00,7:32:30,7:33:30,,,,,,,,,,,,,,
,急行,温泉,都会,7:30:00,7:31:00,,7:32:00,,7:33:00,,7:34:00,,7:35:00,,7:36:00,7:36:30,7:37:30,,7:38:30,7:39:00,7:40:30,,7:42:00,,7:43:30,7:44:00,7:46:00,,7:48:00,,7:50:00,,7:52:00
,普通,温泉,都会,7:33:00,7:34:00,7:34:30,7:35:30,7:36:00,7:37:00,7:37:30,7:38:30,7:39:00,7:40:00,7:40:30,7:41:30,7:42:00,7:43:00,7:43:30,7:44:30,7:45:00,7:46:30,7:46:50,7:48:20,7:48:40,7:50:10,7:50:40,7:52:40,7:53:00,7:55:00,7:55:20,7:57:20,7:57:40,7:59:40
,普通,町中,都会,7:37:00,7:38:00,7:38:30,7:39:30,7:40:00,7:41:00,7:41:30,7:42:30,7:43:00,7:44:00,7:44:30,7:45:30,7:46:00,7:47:00,7:47:30,7:48:30,,,,,,,,,,,,,,
,急行,温泉,都会,7:45:00,7:46:00,,7:47:00,,7:48:00,,7:49:00,,7:50:00,,7:51:00,7:51:30,7:52:30,,7:53:30,7:54:00,7:55:30,,7:57:00,,7:58:30,7:59:00,8:01:00,,8:03:00,,8:05:00,,8:07:00
